tweet,label,clean_tweets
Anura kumara dissanayake backed up from #China . #Chinese are pushing Anura Kumara on #SocialMedia. ❤️ Reactions have been around for a long time.,1,anura kumara dissanayake backed up from china chinese are pushing anura kumara on socialmedia reactions have been around for long time
"Anura Kumara Dissanayake in London expressed regret over the killings for which JVP was responsible ( Sunday Observer 1 Jun 2014 ) The JVP which has a notorious track record killed more Buddhist monks than the LTTE. In 1989, it killed 24 senior monks ( Daily Mirror 28 Feb 2024 )",0,anura kumara dissanayake in london expressed regret over the killings for which jvp was responsible sunday observer 1 jun 2014 the jvp which has notorious track record killed more buddhist monks than the ltte in 1989 it killed 24 senior monks daily mirror 28 feb 2024
"Voting RW means letting SP win, it’s simple as that!
AKD is a thosand times better than SP!",1,voting rw means letting sp win it simple as that akd is thosand times better than sp
So JVP PM is Gona be tilvin? What a disaster it will be 🤦 hadunethi as finance minister who thinks Cuba is great and now this guy as PM. Think twice chaps. @sajithpremadasa has the ground support and the best team. Don't break the vote and complain later #SriLanka #lka,0,so jvp pm is gona be tilvin what disaster it will be hadunethi as finance minister who thinks cuba is great and now this guy as pm think twice chaps sajithpremadasa has the ground support and the best team don break the vote and complain later srilanka lka
"Anura Kumara Dissanayake, Wasantha Samarasinghe, and others from NPP claim to have files proving corruption but refuse to hand them over to authorities or reveal the details to the public. Now, these “anti-corruption” champions are tangled in a massive fraud scandal themselves.",0,anura kumara dissanayake wasantha samarasinghe and others from npp claim to have files proving corruption but refuse to hand them over to authorities or reveal the details to the public now these anti corruption champions are tangled in massive fraud scandal themselves
"We’ve had our fair share of debates and arguments with MP Anura Kumara Dissanayake. We’ve clashed many times. But he has never stooped to such third-rate insults like some of his followers are doing now. Honestly, they’re not hurting us—they’re sabotaging him. 
Here’s a post from a follower of MP Anura Kumara Dissanayake that said, “When Pina took over the country, the total foreign debt was 71 billion dollars. Now it’s 100.”
Our country’s total foreign debt is 37 billion dollars. But this person is falsely claiming it is 71 billion. And they are saying that over the past two years, our debt has increased to 100 billion dollars. But after declaring we couldn’t pay our debt, everyone knows that no country has given us any loans. No country has the legal right to lend us money.
So, what is the purpose of spreading these lies? Are your followers trying to bring your party to power one day through lies?",0,we ve had our fair share of debates and arguments with mp anura kumara dissanayake we ve clashed many times but he has never stooped to such third rate insults like some of his followers are doing now honestly they re not hurting us they re sabotaging him here post from follower of mp anura kumara dissanayake that said when pina took over the country the total foreign debt was 71 billion dollars now it 100 our country total foreign debt is 37 billion dollars but this person is falsely claiming it is 71 billion and they are saying that over the past two years our debt has increased to 100 billion dollars but after declaring we couldn pay our debt everyone knows that no country has given us any loans no country has the legal right to lend us money so what is the purpose of spreading these lies are your followers trying to bring your party to power one day through lies
"Compared to SJBs economy policy surely NPP doesnt have proper and clear one. NPP economy team hasnt spoke out much in this election campaigns,they should explain thre economic policy. Feels like NPP is scared to expose thre economy team to public.",0,compared to sjbs economy policy surely npp doesnt have proper and clear one npp economy team hasnt spoke out much in this election campaigns they should explain thre economic policy feels like npp is scared to expose thre economy team to public
AK Dissanayake (NPP) is projected to win the upcoming election.,1,ak dissanayake npp is projected to win the upcoming election
"The JVP, including Anura Kumara Dissanayake, resigned from the government in 2005 because the JVP opposed the government's decision to distribute tsunami relief aid to Sri Lankan Tamil citizens living in LTTE-controlled areas",0,the jvp including anura kumara dissanayake resigned from the government in 2005 because the jvp opposed the government decision to distribute tsunami relief aid to sri lankan tamil citizens living in ltte controlled areas
"We had a good past.
Don't get fooled by AKD's words.
He is a product of second class  uni. in Sr Lanka.
If you do not like the people in Parliament. Get rid of them when Parliament election comes.",0,we had good past don get fooled by akd words he is product of second class uni in sr lanka if you do not like the people in parliament get rid of them when parliament election comes
"“I would like to ask Anura Kumara Dissanayake, who is responsible for the violence that took place at the Sri Jayewardenepura campus? Are you planning to implement such a political culture?” Sajith questions AKD.",0,would like to ask anura kumara dissanayake who is responsible for the violence that took place at the sri jayewardenepura campus are you planning to implement such political culture sajith questions akd
"For anyone new to #SriLanka politics and interested in knowing more about the leading presidential candidates, @sarojpathi's profile of the #JVP and #NPP leader Anura Kumara Dissanayake is an excellent resource.",1,for anyone new to srilanka politics and interested in knowing more about the leading presidential candidates sarojpathi profile of the jvp and npp leader anura kumara dissanayake is an excellent resource
"Big shifts in voting intent in the first half of 2024: President Ranil Wickremesinghe saw a significant rise in support, doubling from 13% to 22%. Meanwhile, support for NPP’s Anura Dissanayake, SJB’s Sajith Premadasa, and the SLPP dropped by 7%, 1%, and 5%, respectively.",0,big shifts in voting intent in the first half of 2024 president ranil wickremesinghe saw significant rise in support doubling from 13 to 22 meanwhile support for npp anura dissanayake sjb sajith premadasa and the slpp dropped by 7 1 and 5 respectively
"NPP government is ready to bring in a foreign investor to manage Sri Lanka Telecom
NPP is against selling #SriLanka Telecom, however they will have to bring in a foreign investor to manage it -Anura Kumara Dissanayake
-Daily Mirror",1,npp government is ready to bring in foreign investor to manage sri lanka telecom npp is against selling srilanka telecom however they will have to bring in foreign investor to manage it anura kumara dissanayake daily mirror
"As a presidential candidate, if Anura Kumara Dissanayake is intimidating the Tamils in the North on how they should vote, I wonder what he would do if elected President?
Strange tone from a man who said he wants to ""wipe out racism."" ",0,as presidential candidate if anura kumara dissanayake is intimidating the tamils in the north on how they should vote wonder what he would do if elected president strange tone from man who said he wants to wipe out racism
